front_sentence,front_word,front_quote,back_word,back_sentence
Cappuccino colse il kebab d’un tratto.,colse il kebab,"colse il kebab fa rima con griff sich den Kebab, ricorda questa scena!",griff sich den Kebab,Cappuccino griff sich den Kebab auf einmal.
"Scapparono via con la carne intera,",carne intera,"carne intera fa rima con ganzen Fleisch, ricorda questa scena!",ganzen Fleisch,Sie rannten mit dem ganzen Fleisch davon.
Lasciando cipolla — beffa sincera.,cipolla,"cipolla fa rima con Zwiebel, ricorda questa scena!",Zwiebel,Nur die Zwiebel blieb zurück – ein echter Streich.
"""Era il mio pranzo!"" l’uomo gridò,",pranzo,"pranzo fa rima con Mittagessen, ricorda questa scena!",Mittagessen,"„Das war mein Mittagessen!“, rief der Mann."
Ma i gatti già lontani — cruch e crò.,già lontani,"già lontani fa rima con schon weit weg, ricorda questa scena!",schon weit weg,Aber die Katzen waren schon weit weg – cruch und crò.
Quarto Scherzo – Schizzi al Parco,Schizzi al Parco,"Schizzi al Parco fa rima con Spritzer im Park, ricorda questa scena!",Spritzer im Park,Vierter Streich – Spritzer im Park.
"A Schillerpark, tra erbe e colori,",Schillerpark,"Schillerpark fa rima con Schillerpark, ricorda questa scena!",Schillerpark,"Im Schillerpark, zwischen Kräutern und Farben."
I gatti inseguivano anatre e odori.,inseguivano anatre,"inseguivano anatre fa rima con verfolgten Enten, ricorda questa scena!",verfolgten Enten,Die Katzen verfolgten Enten und Gerüche.
"Correvano intorno alla fontana tonda,",fontana tonda,"fontana tonda fa rima con runder Brunnen, ricorda questa scena!",runder Brunnen,Sie rannten um den runden Brunnen.
Finché Ciri cadde con gran seconda.,cadde con gran seconda,"cadde con gran seconda fa rima con fiel mit einem großen Platsch, ricorda questa scena!",fiel mit einem großen Platsch,Bis Ciri mit einem großen Platsch fiel.
"Cappuccino rise, tuffandosi lì,",tuffandosi,"tuffandosi fa rima con hinterher sprang, ricorda questa scena!",hinterher sprang,Cappuccino lachte und sprang hinterher.
E l’acqua volò come un gran spruzzi.,acqua volò,"acqua volò fa rima con Wasser spritzte, ricorda questa scena!",Wasser spritzte,Das Wasser spritzte hoch empor.
"I bimbi gridavano — tra gioia e paura,",bimbi gridavano,"bimbi gridavano fa rima con Kinder schrien, ricorda questa scena!",Kinder schrien,Die Kinder schrien – zwischen Freude und Angst.
Uno spettacolo d’acqua e natura.,spettacolo d’acqua,"spettacolo d’acqua fa rima con Wasserschauspiel, ricorda questa scena!",Wasserschauspiel,Ein Wasserschauspiel aus Wasser und Natur.
"Una guardia corse con scarpa bagnata,",guardia corse,"guardia corse fa rima con Wächter rannte, ricorda questa scena!",Wächter rannte,Ein Wächter rannte mit nassem Schuh.
“Fuori di qui!” — Ma la fuga era già attuata.,fuga era già attuata,"fuga era già attuata fa rima con Flucht war bereits erfolgt, ricorda questa scena!",Flucht war bereits erfolgt,„Raus hier!“ – aber die Flucht war bereits erfolgt.
Quinto Scherzo – Rapina al Chiosco,Rapina al Chiosco,"Rapina al Chiosco fa rima con Raub am Kiosk, ricorda questa scena!",Raub am Kiosk,Fünfter Streich – Raub am Kiosk.
"Su Amsterdamer Straße, là nascosto,",Amsterdamer Straße,"Amsterdamer Straße fa rima con Amsterdamer Straße, ricorda questa scena!",Amsterdamer Straße,"An der Amsterdamer Straße, dort versteckt."
Un chiosco vendeva dolce e arrosto.,chiosco vendeva,"chiosco vendeva fa rima con Kiosk verkaufte, ricorda questa scena!",Kiosk verkaufte,Ein Kiosk verkaufte Süßes und Gebratenes.
"Cappuccino salì sul banco alto,",salì sul banco alto,"salì sul banco alto fa rima con auf den hohen Tresen, ricorda questa scena!",auf den hohen Tresen,Cappuccino stieg auf den hohen Tresen.
Ciri invece andava dritto all’assalto.,dritto all’assalto,"dritto all’assalto fa rima con direkt zum Angriff, ricorda questa scena!",direkt zum Angriff,Ciri stürmte direkt zum Angriff.
"Le caramelle caddero a terra,",caramelle caddero,"caramelle caddero fa rima con Bonbons fielen, ricorda questa scena!",Bonbons fielen,Die Bonbons fielen auf den Boden.
Lui le leccava con gusto e sferra.,leccava con gusto,"leccava con gusto fa rima con leckte genüsslich, ricorda questa scena!",leckte genüsslich,Er leckte sie genüsslich auf.
"Il venditore, scopa in mano,",scopa in mano,"scopa in mano fa rima con Besen in der Hand, ricorda questa scena!",Besen in der Hand,Der Verkäufer mit dem Besen in der Hand.
Scivolò su zucchero: gesto vano.,su zucchero,"su zucchero fa rima con auf Zucker, ricorda questa scena!",auf Zucker,Er rutschte auf Zucker aus – ein vergeblicher Versuch.
"Via scapparon con gomme attaccate,",gomme attaccate,"gomme attaccate fa rima con klebende Kaugummis, ricorda questa scena!",klebende Kaugummis,Mit klebenden Kaugummis an den Pfoten.
Alle zampe e baffi — dolce e beate!,zampe e baffi,"zampe e baffi fa rima con Pfoten und Schnurrhaare, ricorda questa scena!",Pfoten und Schnurrhaare,An Pfoten und Schnurrhaaren – süß und glücklich.
Sesto Scherzo – Follia al Museo,Follia al Museo,"Follia al Museo fa rima con Wahnsinn im Museum, ricorda questa scena!",Wahnsinn im Museum,Sechster Streich – Wahnsinn im Museum.
"Al museo di storia naturale entrarono presto,",museo di storia naturale,"museo di storia naturale fa rima con Naturkundemuseum, ricorda questa scena!",Naturkundemuseum,Im Naturkundemuseum waren sie schon früh.
Zitti e leggeri — come fa un gesto.,Zitti e leggeri,"Zitti e leggeri fa rima con leise und leicht, ricorda questa scena!",leise und leicht,Leise und leicht – wie eine Geste.
"Tra ossa antiche e fossili strani,",ossa antiche,"ossa antiche fa rima con alte Knochen, ricorda questa scena!",alte Knochen,Zwischen alten Knochen und Fossilien.
Ballavano i gatti come gitani.,gatti come gitani,"gatti come gitani fa rima con Katzen wie Zigeuner, ricorda questa scena!",Katzen wie Zigeuner,Die Katzen tanzten wie Zigeuner.
"Ciri si acciambellò su un meteorite,",meteorite,"meteorite fa rima con Meteorit, ricorda questa scena!",Meteorit,Ciri rollte sich auf einem Meteoriten zusammen.
Cappuccino su un mastodonte salì d’un vite.,mastodonte,"mastodonte fa rima con Mastodont, ricorda questa scena!",Mastodont,Cappuccino kletterte flink auf einen Mastodonten.
"I turisti urlaron, il personale inseguì,",turisti urlaron,"turisti urlaron fa rima con Touristen schrien, ricorda questa scena!",Touristen schrien,"Die Touristen schrien, das Personal verfolgte sie."
Ma quei due gatti — spariti così.,spariti così,"spariti così fa rima con einfach verschwunden, ricorda questa scena!",einfach verschwunden,Doch diese zwei Katzen – einfach verschwunden.
"Solo impronte restaron da raccontare,",impronte restaron,"impronte restaron fa rima con nur Spuren blieben, ricorda questa scena!",nur Spuren blieben,"Nur Spuren blieben, um die Geschichte zu erzählen."
I berlinesi — a rider e tramandare.,berlinesi,"berlinesi fa rima con Berliner, ricorda questa scena!",Berliner,Die Berliner – lachten und erzählten weiter.
Settimo Scherzo – Späti Sottosopra,Späti Sottosopra,"Späti Sottosopra fa rima con Späti auf dem Kopf, ricorda questa scena!",Späti auf dem Kopf,Siebter Streich – Späti auf dem Kopf.
"Allo Späti su Osloer Straße andaron zitti,",Osloer Straße,"Osloer Straße fa rima con Osloer Straße, ricorda questa scena!",Osloer Straße,Im Späti an der Osloer Straße gingen sie leise hinein.
Tra snack e bibite fresche nei dritti.,snack e bibite,"snack e bibite fa rima con Snacks und Getränke, ricorda questa scena!",Snacks und Getränke,Zwischen Snacks und kühlen Getränken.
"Si infilaron dietro le patatine,",dietro le patatine,"dietro le patatine fa rima con hinter die Chips, ricorda questa scena!",hinter die Chips,Sie krochen hinter die Chips.
Buttaron birre e scoperchiar pacchettine.,scoperchiar pacchettine,"scoperchiar pacchettine fa rima con Packungen geöffnet, ricorda questa scena!",Packungen geöffnet,Sie warfen Bier um und öffneten kleine Packungen.
"Il commesso tornò — disastro totale,",disastro totale,"disastro totale fa rima con totales Chaos, ricorda questa scena!",totales Chaos,Der Verkäufer kehrte zurück – totales Chaos.
"""Ancora voi? Mi sale il morale!""",mi sale il morale,"mi sale il morale fa rima con hebt meine Laune, ricorda questa scena!",hebt meine Laune,„Schon wieder ihr? Ihr hebt meine Laune!“
"Fuggirono via come vento e brina,",vento e brina,"vento e brina fa rima con Wind und Raureif, ricorda questa scena!",Wind und Raureif,Sie flohen wie Wind und Raureif.
Con bastoncini e un pezzo di caciottina.,pezzo di caciottina,"pezzo di caciottina fa rima con Stück Käse, ricorda questa scena!",Stück Käse,Mit Stäbchen und einem Stück Käse.
Ottavo Scherzo – Tram Tattico,Tram Tattico,"Tram Tattico fa rima con Taktischer Tram, ricorda questa scena!",Taktischer Tram,Achter Streich – Taktischer Tram.
"Saltarono sul tram M13 in silenzio,",tram M13 in silenzio,"tram M13 in silenzio fa rima con leise in die M13, ricorda questa scena!",leise in die M13,Sie sprangen leise in die M13-Tram.
"Da Bornholmer Straße, con grande tempismo.",Bornholmer Straße,"Bornholmer Straße fa rima con Bornholmer Straße, ricorda questa scena!",Bornholmer Straße,"An der Bornholmer Straße, mit perfektem Timing."
"Balzarono in grembo alla gente seduta,",gente seduta,"gente seduta fa rima con sitzende Leute, ricorda questa scena!",sitzende Leute,Sie sprangen auf die Schoße der sitzenden Leute.
Annusando scarpe con aria astuta.,scarpe con aria astuta,"scarpe con aria astuta fa rima con Schuhe mit listiger Miene, ricorda questa scena!",Schuhe mit listiger Miene,Schnupperten an Schuhen mit listiger Miene.
"Si sciolser le stringhe, ci fu gran panico,",gran panico,"gran panico fa rima con großes Chaos, ricorda questa scena!",großes Chaos,Die Schnürsenkel lösten sich – großes Chaos.
Poi via saltaron vicino a un panificio.,panificio,"panificio fa rima con Bäckerei, ricorda questa scena!",Bäckerei,Dann sprangen sie nahe einer Bäckerei davon.
"Il conducente con sguardo sconsolato,",sguardo sconsolato,"sguardo sconsolato fa rima con enttäuschter Blick, ricorda questa scena!",enttäuschter Blick,Der Fahrer mit enttäuschtem Blick.
“Che gatti pazzi!” — e il tram fu bloccato.,gatti pazzi,"gatti pazzi fa rima con verrückte Katzen, ricorda questa scena!",verrückte Katzen,„Was für verrückte Katzen!“ – und die Bahn wurde gestoppt.
Ora nei tram c’è un nuovo avviso:,nuovo avviso,"nuovo avviso fa rima con neuer Hinweis, ricorda questa scena!",neuer Hinweis,Jetzt gibt es in den Trams einen neuen Hinweis:
“Niente artigli o balzi improvviso.”,artigli o balzi,"artigli o balzi fa rima con Krallen oder Sprünge, ricorda questa scena!",Krallen oder Sprünge,„Keine Krallen oder plötzliche Sprünge.“
Nono Scherzo – Corsa sui Tetti,Corsa sui Tetti,"Corsa sui Tetti fa rima con Rennen über die Dächer, ricorda questa scena!",Rennen über die Dächer,Neunter Streich – Rennen über die Dächer.
"I tetti di Berlino, larghi e sereni,",tetti di Berlino,"tetti di Berlino fa rima con Dächer von Berlin, ricorda questa scena!",Dächer von Berlin,"Die Dächer von Berlin, weit und ruhig."
Perfetti per gatti con mille catene.,gatti con mille catene,"gatti con mille catene fa rima con Katzen mit tausend Wegen, ricorda questa scena!",Katzen mit tausend Wegen,Perfekt für Katzen mit tausend Wegen.
"Sfrecciarono oltre antenne e piante,",oltre antenne e piante,"oltre antenne e piante fa rima con über Antennen und Pflanzen, ricorda questa scena!",über Antennen und Pflanzen,Sie flitzten über Antennen und Pflanzen.
Versando vasi in caduta squillante.,vasi in caduta,"vasi in caduta fa rima con fallende Blumentöpfe, ricorda questa scena!",fallende Blumentöpfe,Sie stießen fallende Blumentöpfe um.
"Un piccione volò — Ciri lo inseguì,",piccione volò,"piccione volò fa rima con Taube flog, ricorda questa scena!",Taube flog,Eine Taube flog – Ciri jagte hinterher.
E Cappuccino con balzo partì.,balzo partì,"balzo partì fa rima con Sprung startete, ricorda questa scena!",Sprung startete,Und Cappuccino sprang mit einem Satz los.
"Saltarono sul davanzale d’un vicino,",davanzale d’un vicino,"davanzale d’un vicino fa rima con Fensterbrett eines Nachbarn, ricorda questa scena!",Fensterbrett eines Nachbarn,Sie landeten auf dem Fensterbrett eines Nachbarn.
Versando vernice giù dal camino!,vernice giù dal camino,"vernice giù dal camino fa rima con Farbe durch den Schornstein, ricorda questa scena!",Farbe durch den Schornstein,Sie kippten Farbe durch den Schornstein.
Un pittore gridò — “I miei colori!”,pittore gridò,"pittore gridò fa rima con Maler rief, ricorda questa scena!",Maler rief,Ein Maler rief – „Meine Farben!“
"Ma i gatti già via, rapidi come fiori.",rapidi come fiori,"rapidi come fiori fa rima con schnell wie Blumen, ricorda questa scena!",schnell wie Blumen,Doch die Katzen waren schon weg – schnell wie Blumen.
Decimo Scherzo – La Parata di Maggio,Parata di Maggio,"Parata di Maggio fa rima con Mai-Parade, ricorda questa scena!",Mai-Parade,Zehnter Streich – Die Mai-Parade.
"Nel primo maggio, con tamburi e speranza,",tamburi e speranza,"tamburi e speranza fa rima con Trommeln und Hoffnung, ricorda questa scena!",Trommeln und Hoffnung,"Am ersten Mai, mit Trommeln und Hoffnung."
I gatti si unirono con tutta costanza.,con tutta costanza,"con tutta costanza fa rima con mit voller Ausdauer, ricorda questa scena!",mit voller Ausdauer,Die Katzen schlossen sich mit voller Ausdauer an.
"Cappuccino con nastro rosso saltava,",nastro rosso,"nastro rosso fa rima con rotes Band, ricorda questa scena!",rotes Band,Cappuccino sprang mit rotem Band.
Ciri invece uno striscione sventolava.,striscione sventolava,"striscione sventolava fa rima con Banner flatterte, ricorda questa scena!",Banner flatterte,Ciri ließ ein Banner flattern.
"Rubaron la scena, danzarono allegri,",Rubaron la scena,"Rubaron la scena fa rima con Sie stahlen die Show, ricorda questa scena!",Sie stahlen die Show,Sie stahlen die Show und tanzten fröhlich.
"Finché un carro con wurstel, che segni!",carro con wurstel,"carro con wurstel fa rima con Wurstwagen, ricorda questa scena!",Wurstwagen,Bis ein Wagen mit Würsten kam – was für ein Anblick!
"Balzarono su e morsi a volontà,",morsi a volontà,"morsi a volontà fa rima con Bisse nach Belieben, ricorda questa scena!",Bisse nach Belieben,Sie sprangen rauf und bissen nach Belieben.
Poi spariron — confetto e libertà.,confetto e libertà,"confetto e libertà fa rima con Konfekt und Freiheit, ricorda questa scena!",Konfekt und Freiheit,Dann verschwanden sie – Konfekt und Freiheit.
Undicesimo Scherzo – Caos al Mercatino,Caos al Mercatino,"Caos al Mercatino fa rima con Chaos auf dem Flohmarkt, ricorda questa scena!",Chaos auf dem Flohmarkt,Elfter Streich – Chaos auf dem Flohmarkt.
"Al Mauerpark nella fiera domenicale,",Mauerpark,"Mauerpark fa rima con Mauerpark, ricorda questa scena!",Mauerpark,Im Mauerpark beim sonntäglichen Fest.
"Tra bancarelle e stoffe d’ogni stile,",stoffe d’ogni stile,"stoffe d’ogni stile fa rima con Stoffe aller Stile, ricorda questa scena!",Stoffe aller Stile,Zwischen Ständen und Stoffen aller Stile.
"I gatti si intrufolaron tra camicie,",intrufolaron tra camicie,"intrufolaron tra camicie fa rima con schlichen zwischen Hemden, ricorda questa scena!",schlichen zwischen Hemden,Die Katzen schlichen zwischen Hemden hindurch.
"Toccando giacche, tirando strisce.",tirando strisce,"tirando strisce fa rima con zerrten an Streifen, ricorda questa scena!",zerrten an Streifen,"Zogen an Jacken, zerrten an Streifen."
"Un venditore urlò: ""Non si gioca lì!""",Non si gioca lì,"Non si gioca lì fa rima con Hier wird nicht gespielt, ricorda questa scena!",Hier wird nicht gespielt,Ein Verkäufer rief: „Hier wird nicht gespielt!“
Ma Ciri fu lesta — e subito fuggì.,subito fuggì,"subito fuggì fa rima con sofort geflüchtet, ricorda questa scena!",sofort geflüchtet,Doch Ciri war schnell – und sofort geflüchtet.
"Cappuccino annusò merletti e trine,",merletti e trine,"merletti e trine fa rima con Spitze und Tüll, ricorda questa scena!",Spitze und Tüll,Cappuccino schnupperte an Spitze und Tüll.
Poi sparì tra gonne e vetrine.,tra gonne e vetrine,"tra gonne e vetrine fa rima con zwischen Röcken und Vitrinen, ricorda questa scena!",zwischen Röcken und Vitrinen,Dann verschwand er zwischen Röcken und Vitrinen.
Dodicesimo Scherzo – Bici e Equilibrismi,Bici e Equilibrismi,"Bici e Equilibrismi fa rima con Fahrräder und Balanceakte, ricorda questa scena!",Fahrräder und Balanceakte,Zwölfter Streich – Fahrräder und Balanceakte.
"Sul sentiero ciclabile vicino al Panke,",sentiero ciclabile,"sentiero ciclabile fa rima con Radweg, ricorda questa scena!",Radweg,Auf dem Radweg nahe dem Panke-Fluss.
Salton su bici — oh che scatto e anche!,Salton su bici,"Salton su bici fa rima con Sprangen aufs Fahrrad, ricorda questa scena!",Sprangen aufs Fahrrad,Sie sprangen aufs Fahrrad – was für ein Antritt!
"Ciri in cestino, elegante e fiero,",Ciri in cestino,"Ciri in cestino fa rima con Ciri im Korb, ricorda questa scena!",Ciri im Korb,"Ciri im Korb, elegant und stolz."
Cappuccino in equilibrio vero.,equilibrio vero,"equilibrio vero fa rima con echtes Gleichgewicht, ricorda questa scena!",echtes Gleichgewicht,Cappuccino zeigte echtes Gleichgewicht.
"Zigzag tra ruote, caschi e grida,",Zigzag tra ruote,"Zigzag tra ruote fa rima con Zickzack zwischen Rädern, ricorda questa scena!",Zickzack zwischen Rädern,"Zickzack zwischen Rädern, Helmen und Rufen."
Un ciclista cade nella salita.,cade nella salita,"cade nella salita fa rima con fällt beim Aufstieg, ricorda questa scena!",fällt beim Aufstieg,Ein Radfahrer fällt beim Aufstieg.
"Ma i gatti van via come fulmini d’oro,",fulmini d’oro,"fulmini d’oro fa rima con goldene Blitze, ricorda questa scena!",goldene Blitze,Die Katzen verschwinden wie goldene Blitze.
Lasciando alle spalle solo stupore.,solo stupore,"solo stupore fa rima con nur Staunen, ricorda questa scena!",nur Staunen,Nur Staunen blieb hinter ihnen zurück.
Tredicesimo Scherzo – Gelato Rubato,Gelato Rubato,"Gelato Rubato fa rima con Gestohlenes Eis, ricorda questa scena!",Gestohlenes Eis,Dreizehnter Streich – Das gestohlene Eis.
"Vicino all’U-Bahn Wedding, tra il sole e l’aria,","Wedding, tra il sole","Wedding, tra il sole fa rima con Wedding, zwischen Sonne, ricorda questa scena!","Wedding, zwischen Sonne","In Wedding, zwischen Sonne und Luft."
"Un gelato al gusto stracciatella, in aria.",stracciatella,"stracciatella fa rima con Stracciatella, ricorda questa scena!",Stracciatella,Ein Stracciatella-Eis flog durch die Luft.
"Un bimbo si china a legarsi le scarpe,",bimbo si china,"bimbo si china fa rima con Junge beugt sich, ricorda questa scena!",Junge beugt sich,"Ein Junge beugt sich, um seine Schuhe zu binden."
E Ciri già leccava — con lingue scarpe!,lingue scarpe,"lingue scarpe fa rima con leckt Schuhe, ricorda questa scena!",leckt Schuhe,Und Ciri leckte schon – mit der Zunge an den Schuhen!
"Cappuccino mordicchiò il fondo del cono,",fondo del cono,"fondo del cono fa rima con Eiswaffelboden, ricorda questa scena!",Eiswaffelboden,Cappuccino knabberte am Eiswaffelboden.
E fuggiron poi via — che bel dono!,che bel dono,"che bel dono fa rima con was für ein Geschenk, ricorda questa scena!",was für ein Geschenk,Dann rannten sie davon – was für ein Geschenk!
"Il bimbo tornò e urlò con dispetto,",urlò con dispetto,"urlò con dispetto fa rima con rief verärgert, ricorda questa scena!",rief verärgert,Der Junge kehrte zurück und rief verärgert.
Ma i due già spariti dietro un tetto.,spariti dietro un tetto,"spariti dietro un tetto fa rima con verschwanden hinter einem Dach, ricorda questa scena!",verschwanden hinter einem Dach,Aber die beiden waren schon hinter einem Dach verschwunden.
Quattordicesimo Scherzo – Teatro Interrotto,Teatro Interrotto,"Teatro Interrotto fa rima con Unterbrochenes Theater, ricorda questa scena!",Unterbrochenes Theater,Vierzehnter Streich – Unterbrochenes Theater.
"Al Prime Time Theater, luci e scena,",Prime Time Theater,"Prime Time Theater fa rima con Prime Time Theater, ricorda questa scena!",Prime Time Theater,Im Prime Time Theater: Lichter und Bühne.
